,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mar del plata,100,ES,1660789341,92,43.4002,-4.0094,292.6,3.09
1,oussouye,100,SN,1660789342,93,12.485,-16.5469,296.69,1.73
2,bluff,100,NZ,1660789342,91,-46.6,168.3333,283.53,3.01
3,rikitea,4,PF,1660789342,77,-23.1203,-134.9692,296.6,7.96
4,esperance,28,AU,1660789343,59,-33.8667,121.9,287.28,8.07
5,samarai,93,PG,1660789343,60,-10.6167,150.6667,298.34,5.36
6,busselton,44,AU,1660789344,65,-33.65,115.3333,287.06,2.65
7,qaanaaq,99,GL,1660789344,79,77.484,-69.3632,275.41,0.5
8,sinnamary,16,GF,1660789345,84,5.3833,-52.95,298.86,3.36
9,hobart,75,AU,1660789128,75,-42.8794,147.3294,288.74,10.29
10,macklin,95,CA,1660789345,53,52.3334,-109.9348,296.34,2.98
11,waipawa,100,NZ,1660789345,88,-41.4122,175.5153,287.9,3.77
12,ribeira grande,20,ES,1660789346,95,42.7461,-8.4439,287.73,1.03
13,port macquarie,17,CD,1660789346,48,-7.0349,29.7638,295.91,1.27
14,laguna,0,US,1660789190,32,38.421,-121.4238,309.44,2.06
15,atuona,4,PF,1660789346,73,-9.8,-139.0333,298.29,10.04
16,fortuna,100,US,1660789347,88,40.5982,-124.1573,291.99,3.6
17,sulangan,100,PH,1660789347,75,11.1373,123.7228,301.26,3.55
18,lenger,0,KZ,1660789348,20,42.183,69.8839,289.84,1.68
19,mataura,100,NZ,1660789348,91,-46.1927,168.8643,284.11,1.05
20,albany,100,US,1660789096,93,42.6001,-73.9662,290.56,2.45
21,havoysund,100,NO,1660789348,86,70.9963,24.6622,282.28,8.38
22,bredasdorp,20,ZA,1660789349,94,-34.5322,20.0403,282.92,4.65
23,tecoanapa,100,MX,1660789349,76,16.5167,-98.75,300.89,1.2
24,avarua,75,CK,1660789349,64,-21.2078,-159.775,295.18,6.17
25,yellowknife,20,CA,1660789201,49,62.456,-114.3525,296.44,4.12
26,khatanga,100,RU,1660789350,72,71.9667,102.5,280.63,4.6
27,ancud,9,CL,1660789350,76,-41.8697,-73.8203,278.27,1.19
28,vaini,20,TO,1660789350,78,-21.2,-175.2,298.24,6.17
